id,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price,latitude,longitude,car_age,gas_fueled,diesel_fueled,hybrid_fueled,electric_fueled,front_wheel_drive,four_wheel_drive,rear_wheel_drive,automatic_transmission,manual_transmission
3649,2014,honda,5.0,4.0,gas,172941,clean,automatic,fwd,fullsize,suv,silver,9209,40.7127281,-74.0060152,9,1,0,0,0,1,0,0,1,0
3650,2014,honda,2.0,4.0,gas,236969,rebuilt,automatic,fwd,compact,sedan,black,5241,43.074761,-89.3837613,9,1,0,0,0,1,0,0,1,0
3651,2016,bmw,5.0,6.0,gas,60219,clean,automatic,rwd,midsize,coupe,blue,4277,40.2663107,-76.8861122,7,1,0,0,0,0,0,1,1,0
3652,1996,honda,,6.0,gas,182672,clean,automatic,fwd,fullsize,suv,black,7778,38.8950368,-77.0365427,27,1,0,0,0,1,0,0,1,0
3653,2004,ford,,4.0,gas,183806,clean,automatic,fwd,midsize,coupe,silver,4384,39.100105,-94.5781416,19,1,0,0,0,1,0,0,1,0
3654,2019,ram,5.0,8.0,diesel,47083,rebuilt,automatic,4wd,fullsize,truck,black,40079,53.9590555,-1.0815361,4,0,1,0,0,0,1,0,1,0
3655,2011,chevrolet,5.0,6.0,diesel,22469,rebuilt,automatic,4wd,fullsize,suv,black,26293,41.31611085,-74.12629189225156,12,0,1,0,0,0,1,0,1,0
3656,2013,honda,2.0,6.0,gas,140405,clean,automatic,fwd,fullsize,truck,blue,9107,30.3321838,-81.655651,10,1,0,0,0,1,0,0,1,0
3657,1985,ram,5.0,8.0,diesel,205602,clean,manual,4wd,fullsize,truck,green,18641,42.2612043,-71.7950711,38,0,1,0,0,0,1,0,0,1
3658,2015,bmw,5.0,6.0,gas,100948,lien,automatic,4wd,subcompact,suv,blue,18518,39.4986462,-119.77333186086474,8,1,0,0,0,0,1,0,1,0
3659,2010,acura,2.0,4.0,gas,198501,clean,automatic,fwd,fullsize,sedan,silver,7425,39.9527237,-75.1635262,13,1,0,0,0,1,0,0,1,0
3660,2015,bmw,5.0,4.0,gas,118066,clean,automatic,fwd,compact,sedan,blue,33189,36.0726355,-79.7919754,8,1,0,0,0,1,0,0,1,0
3661,2008,subaru,5.0,4.0,gas,135520,rebuilt,automatic,4wd,midsize,suv,black,23607,43.6008183,-116.24210864118032,15,1,0,0,0,0,1,0,1,0
3662,2010,buick,5.0,6.0,gas,31642,clean,automatic,fwd,midsize,minivan,black,22917,39.1406942,-121.617172,13,1,0,0,0,1,0,0,1,0
3663,2013,ford,5.0,6.0,gas,171987,rebuilt,manual,fwd,midsize,sedan,black,7410,29.4246002,-98.4951405,10,1,0,0,0,1,0,0,0,1
3664,2006,ford,2.0,8.0,gas,92005,clean,automatic,fwd,fullsize,suv,white,21970,41.5752554,-70.50477828239752,17,1,0,0,0,1,0,0,1,0
3665,2014,chevrolet,2.0,4.0,gas,80545,clean,automatic,fwd,fullsize,sedan,black,7538,41.0799898,-85.1386015,9,1,0,0,0,1,0,0,1,0
3666,2018,ford,2.0,8.0,gas,99816,salvage,automatic,4wd,fullsize,truck,white,21002,44.5990718,-72.5002608,5,1,0,0,0,0,1,0,1,0
3667,2006,jeep,1.0,6.0,gas,297462,clean,manual,4wd,fullsize,other,silver,13765,44.6308249,-123.1020937,17,1,0,0,0,0,1,0,0,1
3668,2015,bmw,,6.0,gas,113035,clean,automatic,4wd,fullsize,suv,black,19053,41.001415,-80.350071,8,1,0,0,0,0,1,0,1,0
3669,2011,ford,5.0,4.0,gas,118615,clean,manual,4wd,fullsize,truck,black,19093,38.8950368,-77.0365427,12,1,0,0,0,0,1,0,0,1
3670,2012,ram,2.0,8.0,diesel,110392,clean,automatic,4wd,fullsize,other,black,13434,39.830107,-74.978493,11,0,1,0,0,0,1,0,1,0
3671,1999,chevrolet,,8.0,gas,169522,clean,manual,4wd,fullsize,truck,silver,2774,29.7589382,-95.3676974,24,1,0,0,0,0,1,0,0,1
3672,2015,hyundai,5.0,4.0,gas,96351,clean,manual,fwd,compact,sedan,blue,6692,14.6743343,121.1003603,8,1,0,0,0,1,0,0,0,1
3673,1999,chevrolet,5.0,6.0,diesel,-1,clean,manual,4wd,fullsize,truck,red,28354,61.2163129,-149.894852,24,0,1,0,0,0,1,0,0,1
3674,2012,bmw,5.0,8.0,gas,107679,clean,automatic,rwd,fullsize,coupe,black,16050,48.2691331,-116.5471244,11,1,0,0,0,0,0,1,1,0
3675,2011,ford,,4.0,gas,52502,clean,automatic,fwd,midsize,suv,grey,5738,39.6519275,-121.5858444,12,1,0,0,0,1,0,0,1,0
3676,2011,ford,5.0,4.0,gas,99616,clean,manual,fwd,midsize,sedan,silver,17872,27.89799165,-82.51906446720005,12,1,0,0,0,1,0,0,0,1
3677,2013,volkswagen,5.0,4.0,other,96761,clean,manual,fwd,midsize,coupe,red,6763,53.9590555,-1.0815361,10,0,0,0,0,1,0,0,0,1
3678,2011,toyota,5.0,4.0,gas,183226,clean,automatic,fwd,compact,suv,blue,21879,38.8339578,-104.825348,12,1,0,0,0,1,0,0,1,0
3679,2017,chevrolet,5.0,6.0,diesel,28524,lien,automatic,4wd,fullsize,pickup,black,36713,34.539984,-112.468812,6,0,1,0,0,0,1,0,1,0
3680,2016,honda,2.0,4.0,gas,182252,clean,automatic,fwd,midsize,hatchback,silver,5207,36.7999557,-121.9010668,7,1,0,0,0,1,0,0,1,0
3681,2004,jeep,2.0,6.0,gas,111293,clean,automatic,4wd,fullsize,suv,black,7785,39.4986462,-119.77333186086474,19,1,0,0,0,0,1,0,1,0
3682,1995,jeep,5.0,6.0,diesel,185445,clean,automatic,4wd,midsize,suv,black,19199,37.5385087,-77.43428,28,0,1,0,0,0,1,0,1,0
3683,2000,ford,2.0,6.0,gas,224431,clean,automatic,4wd,fullsize,suv,brown,6949,33.7489924,-84.3902644,23,1,0,0,0,0,1,0,1,0
3684,2005,other,2.0,3.0,gas,33815,clean,manual,fwd,compact,coupe,black,21122,34.0718195,-78.1914215,18,1,0,0,0,1,0,0,0,1
3685,2012,gmc,5.0,8.0,gas,9681,clean,automatic,rwd,fullsize,truck,white,36673,36.1622767,-86.7742984,11,1,0,0,0,0,0,1,1,0
3686,2013,audi,2.0,4.0,other,21990,clean,manual,fwd,midsize,sedan,red,26211,33.4484367,-112.074141,10,0,0,0,0,1,0,0,0,1
3687,2011,nissan,5.0,4.0,gas,142562,clean,automatic,fwd,midsize,sedan,silver,3661,40.0149856,-105.270545,12,1,0,0,0,1,0,0,1,0
3688,1989,chevrolet,5.0,6.0,gas,153014,clean,automatic,4wd,fullsize,sedan,black,7804,41.000028,19.9999619,34,1,0,0,0,0,1,0,1,0
3689,1967,chevrolet,5.0,8.0,gas,109901,rebuilt,automatic,fwd,fullsize,convertible,green,3160,39.049011,-95.677556,56,1,0,0,0,1,0,0,1,0
3690,2011,jeep,1.0,6.0,gas,90213,clean,automatic,fwd,fullsize,suv,blue,7370,14.6743343,121.1003603,12,1,0,0,0,1,0,0,1,0
3691,2018,nissan,2.0,6.0,gas,64766,lien,automatic,4wd,fullsize,pickup,black,14558,29.4246002,-98.4951405,5,1,0,0,0,0,1,0,1,0
3692,2013,volkswagen,5.0,4.0,gas,150549,clean,automatic,fwd,compact,sedan,white,5565,37.1677128,-94.8464256,10,1,0,0,0,1,0,0,1,0
3693,2016,ford,5.0,4.0,gas,38706,rebuilt,automatic,4wd,fullsize,other,grey,37261,36.1563122,-95.9927516,7,1,0,0,0,0,1,0,1,0
3694,1983,ford,5.0,8.0,gas,67692,clean,automatic,rwd,fullsize,coupe,black,5382,39.830107,-74.978493,40,1,0,0,0,0,0,1,1,0
3695,2011,honda,5.0,4.0,gas,40898,clean,automatic,fwd,fullsize,sedan,silver,1412,30.4380832,-84.2809332,12,1,0,0,0,1,0,0,1,0
3696,2016,ford,5.0,6.0,gas,37388,clean,automatic,rwd,fullsize,truck,blue,41380,39.830107,-74.978493,7,1,0,0,0,0,0,1,1,0
3697,2012,chevrolet,5.0,8.0,gas,105556,clean,automatic,4wd,fullsize,suv,green,12498,4.099917,-72.9088133,11,1,0,0,0,0,1,0,1,0
3698,1992,ford,2.0,8.0,gas,127501,clean,manual,rwd,midsize,sedan,green,9791,39.838066,-79.01503,31,1,0,0,0,0,0,1,0,1
3699,2016,jeep,2.0,6.0,gas,7458,rebuilt,automatic,4wd,fullsize,suv,black,35066,33.77217945,-116.49529769683984,7,1,0,0,0,0,1,0,1,0
3700,2013,toyota,5.0,6.0,gas,123897,clean,automatic,fwd,fullsize,suv,white,17996,38.5810606,-121.493895,10,1,0,0,0,1,0,0,1,0
3701,2013,ford,5.0,8.0,gas,88683,clean,automatic,4wd,fullsize,pickup,black,19796,47.9078244,-97.0592028,10,1,0,0,0,0,1,0,1,0
3702,2010,buick,2.0,6.0,gas,89171,clean,automatic,fwd,fullsize,sedan,black,6376,32.89651945,-97.0465220537124,13,1,0,0,0,1,0,0,1,0
3703,2014,chevrolet,5.0,4.0,gas,55020,rebuilt,automatic,fwd,fullsize,suv,white,15028,44.2938381,-88.3698587,9,1,0,0,0,1,0,0,1,0
3704,2011,bmw,5.0,6.0,gas,92733,clean,automatic,4wd,midsize,suv,white,5346,41.7962409,-71.5992372,12,1,0,0,0,0,1,0,1,0
3705,1981,ford,2.0,8.0,diesel,135145,clean,manual,rwd,fullsize,truck,white,21827,33.4484367,-112.074141,42,0,1,0,0,0,0,1,0,1
3706,2019,toyota,,4.0,gas,122793,rebuilt,automatic,4wd,fullsize,suv,black,9892,41.31611085,-74.12629189225156,4,1,0,0,0,0,1,0,1,0
3707,2017,ford,5.0,4.0,gas,88351,clean,manual,fwd,compact,coupe,green,19514,35.7309716,-80.3153309,6,1,0,0,0,1,0,0,0,1
3708,1997,toyota,2.0,6.0,gas,112499,rebuilt,manual,fwd,fullsize,suv,white,5545,35.3540209,-120.3757163,26,1,0,0,0,1,0,0,0,1
3709,1998,ford,2.0,8.0,gas,112944,clean,automatic,4wd,fullsize,truck,brown,8917,40.9152061,-81.43992419328089,25,1,0,0,0,0,1,0,1,0
3710,2011,chevrolet,0.0,6.0,diesel,52875,clean,automatic,4wd,fullsize,pickup,white,39644,37.5385087,-77.43428,12,0,1,0,0,0,1,0,1,0
3711,1998,nissan,1.0,6.0,gas,236652,clean,automatic,rwd,fullsize,sedan,grey,5058,35.2072185,-101.833824,25,1,0,0,0,0,0,1,1,0
3712,2002,honda,5.0,6.0,gas,158717,clean,automatic,fwd,fullsize,sedan,grey,4234,43.157285,-77.615214,21,1,0,0,0,1,0,0,1,0
3713,2020,mitsubishi,,4.0,gas,121681,clean,automatic,fwd,midsize,sedan,blue,18296,32.2228765,-110.9748477,3,1,0,0,0,1,0,0,1,0
3714,2007,honda,,6.0,gas,143226,clean,automatic,fwd,midsize,coupe,silver,5073,39.9527237,-75.1635262,16,1,0,0,0,1,0,0,1,0
3715,2016,ford,5.0,8.0,gas,-1,rebuilt,automatic,rwd,midsize,truck,blue,34619,35.2272086,-80.8430827,7,1,0,0,0,0,0,1,1,0
3716,2001,chevrolet,5.0,6.0,diesel,79263,clean,automatic,4wd,fullsize,suv,black,7727,43.157285,-77.615214,22,0,1,0,0,0,1,0,1,0
3717,2001,chevrolet,5.0,8.0,gas,209682,clean,automatic,rwd,fullsize,convertible,black,6982,46.601557,-120.510842,22,1,0,0,0,0,0,1,1,0
3718,2012,honda,2.0,4.0,gas,91103,lien,other,fwd,compact,suv,black,22240,39.4986462,-119.77333186086474,11,1,0,0,0,1,0,0,0,0
3719,2009,honda,5.0,4.0,gas,127126,salvage,automatic,fwd,midsize,sedan,silver,11607,41.33709205,-75.72257122928625,14,1,0,0,0,1,0,0,1,0
3720,2014,chevrolet,2.0,8.0,gas,5835,clean,other,rwd,fullsize,coupe,black,25287,37.104153,-113.5841313,9,1,0,0,0,0,0,1,0,0
3721,2011,ford,2.0,8.0,gas,80812,clean,automatic,rwd,fullsize,sedan,grey,9621,43.8122836,-91.2514355,12,1,0,0,0,0,0,1,1,0
3722,2009,chevrolet,2.0,4.0,gas,141291,clean,automatic,fwd,fullsize,sedan,brown,2493,39.9527237,-75.1635262,14,1,0,0,0,1,0,0,1,0
3723,2015,bmw,5.0,4.0,gas,162764,rebuilt,automatic,fwd,midsize,sedan,black,5363,41.7962409,-71.5992372,8,1,0,0,0,1,0,0,1,0
3724,2014,bmw,5.0,6.0,gas,96770,clean,automatic,fwd,midsize,coupe,blue,17653,29.4246002,-98.4951405,9,1,0,0,0,1,0,0,1,0
3725,2014,bmw,5.0,6.0,other,248968,clean,automatic,4wd,fullsize,truck,silver,4917,39.9527237,-75.1635262,9,0,0,0,0,0,1,0,1,0
3726,2012,kia,5.0,6.0,gas,109465,clean,automatic,fwd,fullsize,suv,black,7213,47.687231,-116.7892534,11,1,0,0,0,1,0,0,1,0
3727,2014,toyota,2.0,4.0,gas,109454,clean,automatic,fwd,fullsize,sedan,black,8332,33.7500378,-117.8704931,9,1,0,0,0,1,0,0,1,0
3728,1984,chevrolet,,8.0,gas,25006,clean,automatic,rwd,fullsize,truck,black,22898,31.7884104,-81.6357479,39,1,0,0,0,0,0,1,1,0
3729,1983,mercury,2.0,8.0,gas,99358,clean,manual,rwd,fullsize,coupe,white,4549,38.4493315,-78.8688833,40,1,0,0,0,0,0,1,0,1
3730,2009,lexus,2.0,6.0,other,145246,clean,automatic,4wd,fullsize,suv,brown,7328,35.7309716,-80.3153309,14,0,0,0,0,0,1,0,1,0
3731,2014,chevrolet,,8.0,gas,121115,clean,automatic,4wd,fullsize,truck,black,15748,45.5616075,-94.1642004,9,1,0,0,0,0,1,0,1,0
3732,2002,ford,2.0,6.0,gas,198554,rebuilt,other,4wd,fullsize,truck,silver,3247,39.7392364,-104.984862,21,1,0,0,0,0,1,0,0,0
3733,2014,mazda,5.0,4.0,gas,155783,clean,automatic,fwd,midsize,sedan,grey,5670,43.6008183,-116.24210864118032,9,1,0,0,0,1,0,0,1,0
3734,2006,mercedesbenz,5.0,6.0,gas,118659,rebuilt,automatic,fwd,fullsize,suv,red,3764,39.5733818,-89.9867748,17,1,0,0,0,1,0,0,1,0
3735,2017,bmw,5.0,6.0,gas,78174,clean,automatic,fwd,compact,coupe,orange,8128,40.7127281,-74.0060152,6,1,0,0,0,1,0,0,1,0
3736,1984,ford,1.0,8.0,gas,114932,clean,manual,rwd,fullsize,pickup,green,6424,47.687231,-116.7892534,39,1,0,0,0,0,0,1,0,1
3737,2014,chevrolet,2.0,4.0,gas,81296,clean,automatic,fwd,compact,hatchback,black,7750,47.6438308,-117.4426685,9,1,0,0,0,1,0,0,1,0
3738,2019,lexus,,6.0,gas,173781,rebuilt,automatic,fwd,midsize,sedan,silver,20120,39.4986462,-119.77333186086474,4,1,0,0,0,1,0,0,1,0
3739,2014,audi,2.0,4.0,gas,129718,lien,automatic,4wd,midsize,coupe,black,3560,41.764582,-72.6908547,9,1,0,0,0,0,1,0,1,0
3740,2012,ford,5.0,4.0,gas,141994,clean,automatic,4wd,fullsize,suv,black,14512,41.7962409,-71.5992372,11,1,0,0,0,0,1,0,1,0
3741,1962,chevrolet,1.0,-1.0,gas,42855,clean,automatic,rwd,fullsize,coupe,green,17016,36.198532,-101.1925326,61,1,0,0,0,0,0,1,1,0
3742,2007,ford,5.0,6.0,diesel,165522,clean,automatic,4wd,fullsize,pickup,grey,21471,40.5997415,-123.8997734,16,0,1,0,0,0,1,0,1,0
3743,2008,bmw,5.0,6.0,gas,99723,clean,automatic,rwd,midsize,sedan,black,16023,34.0536909,-118.242766,15,1,0,0,0,0,0,1,1,0
3744,2008,chevrolet,5.0,8.0,gas,139685,clean,automatic,4wd,fullsize,suv,silver,20792,45.5616075,-94.1642004,15,1,0,0,0,0,1,0,1,0
3745,2000,ford,5.0,8.0,gas,240594,clean,automatic,fwd,fullsize,sedan,black,7189,41.000028,19.9999619,23,1,0,0,0,1,0,0,1,0
3746,2013,ford,5.0,6.0,gas,64052,clean,automatic,rwd,midsize,sedan,white,8954,52.4796992,-1.9026911,10,1,0,0,0,0,0,1,1,0
3747,2010,chevrolet,5.0,8.0,gas,166174,clean,automatic,4wd,fullsize,suv,silver,2272,38.8339578,-104.825348,13,1,0,0,0,0,1,0,1,0
3748,1985,honda,5.0,4.0,other,109411,rebuilt,manual,fwd,midsize,sedan,silver,15702,32.2228765,-110.9748477,38,0,0,0,0,1,0,0,0,1
3749,2011,ford,,4.0,gas,68871,clean,manual,fwd,midsize,sedan,black,7088,32.2228765,-110.9748477,12,1,0,0,0,1,0,0,0,1
3750,1968,ford,5.0,8.0,gas,104417,clean,other,rwd,fullsize,pickup,black,3821,27.7712026,-82.6495453,55,1,0,0,0,0,0,1,0,0
3751,1962,chevrolet,2.0,8.0,diesel,88740,salvage,automatic,rwd,fullsize,truck,green,16480,37.6922361,-97.3375448,61,0,1,0,0,0,0,1,1,0
3752,2015,honda,5.0,4.0,gas,60373,clean,automatic,fwd,midsize,sedan,blue,5749,32.7174202,-117.1627728,8,1,0,0,0,1,0,0,1,0
3753,2016,ram,5.0,8.0,gas,22276,clean,automatic,4wd,fullsize,truck,silver,70228,27.7712026,-82.6495453,7,1,0,0,0,0,1,0,1,0
3754,2010,ford,5.0,6.0,other,69801,rebuilt,manual,fwd,midsize,suv,grey,10686,39.4986462,-119.77333186086474,13,0,0,0,0,1,0,0,0,1
3755,2007,ford,5.0,6.0,gas,156171,clean,manual,4wd,midsize,sedan,green,6724,32.2228765,-110.9748477,16,1,0,0,0,0,1,0,0,1
3756,2009,ford,5.0,6.0,gas,66782,clean,automatic,4wd,fullsize,truck,black,20900,29.2108147,-81.0228331,14,1,0,0,0,0,1,0,1,0
3757,2015,ford,,4.0,gas,54413,clean,automatic,fwd,midsize,sedan,black,17824,37.9577016,-121.2907796,8,1,0,0,0,1,0,0,1,0
3758,1986,ford,2.0,4.0,gas,179443,clean,automatic,fwd,fullsize,sedan,green,5765,41.33709205,-75.72257122928625,37,1,0,0,0,1,0,0,1,0
3759,2014,honda,5.0,4.0,gas,57914,clean,automatic,fwd,compact,sedan,grey,16634,35.0841034,-106.650985,9,1,0,0,0,1,0,0,1,0
3760,2014,subaru,5.0,4.0,gas,158838,clean,automatic,4wd,midsize,wagon,blue,15582,46.7811048,-92.104329249445,9,1,0,0,0,0,1,0,1,0
3761,2010,acura,5.0,4.0,gas,165173,clean,other,fwd,fullsize,sedan,green,1641,41.33709205,-75.72257122928625,13,1,0,0,0,1,0,0,0,0
3762,2012,chevrolet,2.0,8.0,gas,111461,clean,automatic,rwd,fullsize,truck,white,8754,39.7683331,-86.1583502,11,1,0,0,0,0,0,1,1,0
3763,2017,ram,5.0,6.0,diesel,254994,rebuilt,automatic,4wd,fullsize,pickup,green,35485,39.1014537,-84.5124602,6,0,1,0,0,0,1,0,1,0
3764,1952,other,5.0,4.0,gas,85692,clean,automatic,rwd,compact,coupe,green,7402,34.627894,-86.902062,71,1,0,0,0,0,0,1,1,0
3765,2008,ford,,6.0,gas,26434,clean,manual,4wd,fullsize,truck,black,24185,43.157285,-77.615214,15,1,0,0,0,0,1,0,0,1
3766,2012,mazda,5.0,6.0,gas,170636,clean,automatic,fwd,midsize,suv,silver,9442,43.0161693,-83.6900211,11,1,0,0,0,1,0,0,1,0
3767,2002,ford,2.0,4.0,gas,164172,rebuilt,manual,fwd,midsize,sedan,red,15700,37.6390972,-120.9968782,21,1,0,0,0,1,0,0,0,1
3768,2003,lincoln,1.0,4.0,gas,230102,clean,automatic,fwd,fullsize,suv,grey,4100,44.5126379,-88.0125794,20,1,0,0,0,1,0,0,1,0
3769,2010,nissan,5.0,4.0,gas,129330,clean,automatic,fwd,fullsize,sedan,silver,12795,35.7309716,-80.3153309,13,1,0,0,0,1,0,0,1,0
3770,2006,ram,2.0,6.0,diesel,157449,clean,automatic,4wd,fullsize,truck,silver,8390,39.7990175,-89.6439575,17,0,1,0,0,0,1,0,1,0
3771,2010,ram,5.0,6.0,diesel,92625,clean,manual,4wd,fullsize,pickup,white,26701,42.7056386,-77.709834,13,0,1,0,0,0,1,0,0,1
3772,2000,buick,5.0,6.0,gas,111166,clean,automatic,fwd,fullsize,suv,red,2133,36.1672559,-115.148516,23,1,0,0,0,1,0,0,1,0
3773,2008,ford,5.0,6.0,gas,123463,clean,automatic,fwd,fullsize,suv,white,48211,44.0505054,-123.0950506,15,1,0,0,0,1,0,0,1,0
3774,2011,ford,5.0,6.0,gas,68042,clean,automatic,rwd,fullsize,van,yellow,8253,36.8479165,-76.2902105,12,1,0,0,0,0,0,1,1,0
3775,2016,hyundai,,6.0,gas,92049,salvage,automatic,fwd,compact,sedan,custom,8105,37.7884969,-122.3558473,7,1,0,0,0,1,0,0,1,0
3776,2006,ford,1.0,8.0,gas,171613,clean,manual,fwd,fullsize,pickup,green,4916,38.2544472,-104.609141,17,1,0,0,0,1,0,0,0,1
3777,2014,honda,5.0,6.0,gas,60510,rebuilt,manual,fwd,midsize,sedan,black,22315,40.924271,-98.338685,9,1,0,0,0,1,0,0,0,1
3778,2009,bmw,5.0,4.0,gas,131231,clean,automatic,fwd,compact,coupe,black,15820,36.1672559,-115.148516,14,1,0,0,0,1,0,0,1,0
3779,2004,ford,5.0,6.0,gas,291086,rebuilt,automatic,fwd,fullsize,suv,black,3479,29.2108147,-81.0228331,19,1,0,0,0,1,0,0,1,0
3780,2015,jeep,,4.0,gas,113547,clean,automatic,4wd,midsize,suv,blue,37919,37.5385087,-77.43428,8,1,0,0,0,0,1,0,1,0
3781,2004,ford,5.0,6.0,gas,293139,clean,automatic,fwd,fullsize,pickup,silver,5994,42.098698,-75.9125187,19,1,0,0,0,1,0,0,1,0
3782,2012,ford,5.0,4.0,gas,34695,clean,automatic,fwd,fullsize,suv,black,12491,32.2228765,-110.9748477,11,1,0,0,0,1,0,0,1,0
3783,2010,bmw,5.0,6.0,gas,64771,clean,automatic,rwd,fullsize,sedan,silver,23556,36.1672559,-115.148516,13,1,0,0,0,0,0,1,1,0
3784,2005,ford,5.0,6.0,gas,148292,clean,automatic,4wd,fullsize,suv,black,9099,30.2711286,-97.7436995,18,1,0,0,0,0,1,0,1,0
3785,2011,bmw,5.0,6.0,gas,103163,clean,automatic,fwd,midsize,suv,white,22352,41.5752554,-70.50477828239752,12,1,0,0,0,1,0,0,1,0
3786,2016,toyota,5.0,4.0,gas,146850,clean,automatic,fwd,midsize,sedan,black,9224,40.4416941,-79.9900861,7,1,0,0,0,1,0,0,1,0
3787,2009,lincoln,1.0,4.0,gas,126677,clean,automatic,fwd,midsize,suv,silver,3611,40.5887558,-75.564283,14,1,0,0,0,1,0,0,1,0
3788,2012,toyota,2.0,4.0,gas,170016,clean,manual,fwd,midsize,coupe,red,4791,33.91610555,-96.64274127404047,11,1,0,0,0,1,0,0,0,1
3789,2010,ford,5.0,4.0,gas,71433,clean,automatic,fwd,midsize,sedan,black,3376,37.5385087,-77.43428,13,1,0,0,0,1,0,0,1,0
3790,2010,ford,5.0,6.0,gas,101131,clean,automatic,fwd,compact,other,silver,7131,41.7962409,-71.5992372,13,1,0,0,0,1,0,0,1,0
3791,2008,bmw,,6.0,gas,126354,clean,automatic,4wd,fullsize,suv,blue,27063,29.4246002,-98.4951405,15,1,0,0,0,0,1,0,1,0
3792,2013,ford,5.0,4.0,gas,126420,clean,automatic,fwd,midsize,sedan,black,6558,30.4057552,-86.618842,10,1,0,0,0,1,0,0,1,0
3793,2008,ford,5.0,4.0,gas,56140,salvage,automatic,rwd,midsize,coupe,blue,15372,39.830107,-74.978493,15,1,0,0,0,0,0,1,1,0
3794,2014,chevrolet,2.0,4.0,gas,86130,clean,automatic,fwd,fullsize,other,white,18392,47.6438308,-117.4426685,9,1,0,0,0,1,0,0,1,0
3795,1961,chevrolet,5.0,8.0,gas,70011,clean,automatic,rwd,midsize,sedan,black,3470,39.830107,-74.978493,62,1,0,0,0,0,0,1,1,0
3796,2010,nissan,5.0,4.0,gas,281956,clean,automatic,4wd,fullsize,sedan,black,7086,42.321246,-88.8235511,13,1,0,0,0,0,1,0,1,0
3797,2013,chevrolet,5.0,4.0,gas,97434,clean,automatic,fwd,midsize,suv,black,7631,39.830107,-74.978493,10,1,0,0,0,1,0,0,1,0
3798,2014,jeep,5.0,8.0,gas,78971,clean,other,4wd,fullsize,suv,white,14883,40.7596198,-111.886797,9,1,0,0,0,0,1,0,0,0
3799,1997,ford,2.0,8.0,diesel,123722,clean,manual,4wd,fullsize,pickup,blue,35204,44.5990718,-72.5002608,26,0,1,0,0,0,1,0,0,1
3800,2013,hyundai,2.0,4.0,other,17799,lien,automatic,fwd,compact,sedan,black,10221,38.6920451,-75.4013315,10,0,0,0,0,1,0,0,1,0
3801,2001,ford,5.0,6.0,diesel,28910,clean,automatic,4wd,fullsize,pickup,black,27757,43.157285,-77.615214,22,0,1,0,0,0,1,0,1,0
3802,2012,nissan,5.0,4.0,gas,167041,clean,automatic,fwd,midsize,sedan,black,3223,39.830107,-74.978493,11,1,0,0,0,1,0,0,1,0
3803,2013,chevrolet,5.0,6.0,diesel,75018,clean,manual,4wd,fullsize,truck,black,18941,40.9152061,-81.43992419328089,10,0,1,0,0,0,1,0,0,1
3804,2011,jeep,2.0,6.0,gas,166052,rebuilt,automatic,4wd,midsize,suv,black,17213,47.687231,-116.7892534,12,1,0,0,0,0,1,0,1,0
3805,1996,nissan,1.0,8.0,gas,117587,lien,automatic,rwd,fullsize,truck,green,2957,32.2998686,-90.1830408,27,1,0,0,0,0,0,1,1,0
3806,2010,ford,5.0,8.0,gas,297687,clean,automatic,4wd,fullsize,truck,white,19880,42.7337712,-84.5553805,13,1,0,0,0,0,1,0,1,0
3807,1990,bmw,5.0,6.0,gas,134603,clean,automatic,4wd,fullsize,other,silver,8580,31.1171441,-97.727796,33,1,0,0,0,0,1,0,1,0
3808,1992,bmw,5.0,6.0,gas,124536,clean,automatic,rwd,fullsize,suv,silver,6049,43.074761,-89.3837613,31,1,0,0,0,0,0,1,1,0
3809,1999,ford,1.0,8.0,gas,173008,clean,automatic,4wd,fullsize,pickup,silver,1581,39.9053187,-84.22024542480268,24,1,0,0,0,0,1,0,1,0
3810,1996,chevrolet,5.0,8.0,gas,52019,clean,automatic,rwd,fullsize,sedan,grey,3253,30.3321838,-81.655651,27,1,0,0,0,0,0,1,1,0
3811,2017,chevrolet,,4.0,gas,38192,lien,automatic,4wd,fullsize,suv,black,21618,46.74046085,-117.11616790689412,6,1,0,0,0,0,1,0,1,0
3812,2014,lincoln,5.0,4.0,gas,184825,clean,automatic,fwd,midsize,sedan,blue,5376,26.2981263,-98.2075117,9,1,0,0,0,1,0,0,1,0
3813,2015,kia,5.0,4.0,gas,157277,clean,automatic,fwd,midsize,sedan,blue,9183,30.2711286,-97.7436995,8,1,0,0,0,1,0,0,1,0
3814,2015,honda,2.0,4.0,gas,73475,rebuilt,automatic,fwd,midsize,sedan,blue,11653,33.7489924,-84.3902644,8,1,0,0,0,1,0,0,1,0
3815,2012,ford,2.0,4.0,gas,134581,clean,manual,fwd,midsize,truck,silver,4643,27.7635302,-97.4033191,11,1,0,0,0,1,0,0,0,1
3816,2004,jeep,2.0,6.0,gas,161122,clean,manual,4wd,fullsize,truck,black,22895,48.2691331,-116.5471244,19,1,0,0,0,0,1,0,0,1
3817,2010,bmw,5.0,6.0,gas,47613,clean,automatic,4wd,fullsize,sedan,black,19079,40.518681,-78.394736,13,1,0,0,0,0,1,0,1,0
3818,2011,honda,2.0,4.0,gas,161438,clean,automatic,fwd,fullsize,sedan,red,4768,40.8088861,-96.7077751,12,1,0,0,0,1,0,0,1,0
3819,2005,bmw,,6.0,gas,58688,clean,manual,fwd,midsize,coupe,silver,3841,42.420156,-71.107384,18,1,0,0,0,1,0,0,0,1
